episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
11,6011,1,success,595,91,96,500,500,3,5.33,4,3,1,1,0,0.413,1.00,1.00,2.40,1.116,0.9176,0.10,0.200,1.00,0.00,0.964,0.905,0.879,0.954,0.894,1.187,1.176,0.616,1.403,10,11111000110111,0.962,10.0,380,54,87,380,0,sampled
12,6012,1,success,624,114,125,500,500,3,9.93,6,2,1,1,0,0.694,1.00,1.00,3.14,3.754,0.9097,0.10,0.200,1.00,0.00,0.959,0.873,0.974,0.922,0.849,1.174,1.062,0.559,1.159,11,11101111101011,0.950,10.0,215,163,273,273,0,sampled
13,6013,1,success,576,67,77,500,500,3,11.28,8,3,1,1,0,0.930,1.00,1.00,2.15,2.872,0.7655,0.10,0.200,1.00,0.00,0.966,1.081,0.875,1.147,0.820,0.905,1.106,0.683,1.126,9,11101010110110,1.032,10.0,242,272,346,346,0,sampled
14,6014,0,drop,490,92,126,364,500,2,17.79,4,3,1,1,0,1.379,1.00,1.00,4.25,2.519,0.8685,0.10,0.200,0.00,-0.20,1.030,1.185,1.130,0.883,1.129,0.825,1.102,0.689,1.372,10,10110111110011,1.073,10.0,156,295,396,295,0,sampled
15,6015,0,drop,647,146,149,498,500,3,8.79,3,1,1,1,0,0.662,1.00,1.00,3.26,2.184,0.8201,0.10,0.200,0.00,-0.20,0.977,1.121,0.959,0.853,0.901,1.052,1.480,0.572,1.533,13,11111101111111,1.048,10.0,467,2,145,467,0,sampled
16,6016,1,success,605,99,106,500,500,3,4.41,5,2,1,1,0,0.306,1.00,1.00,5.71,3.690,0.8361,0.10,0.200,1.00,0.00,1.062,1.092,1.112,0.862,1.200,1.044,1.430,0.630,1.277,9,10100111001111,1.037,10.0,47,27,133,133,0,sampled
17,6017,1,success,602,95,103,500,500,3,3.75,5,3,1,1,0,0.257,1.00,1.00,4.28,4.067,0.9133,0.10,0.200,1.00,0.00,0.997,0.819,1.114,1.194,0.814,1.045,1.718,0.720,1.385,10,01111010011111,0.928,10.0,131,434,55,434,0,sampled
18,6018,1,success,579,74,80,500,500,3,6.02,6,3,1,1,0,0.432,1.00,1.00,2.48,4.022,0.8650,0.10,0.200,1.00,0.00,1.007,1.036,0.862,1.064,0.876,1.197,1.390,0.679,1.198,11,01011111111110,1.014,10.0,6,50,169,169,0,sampled
19,6019,1,success,610,104,111,500,500,3,5.42,3,2,1,0,0,0.440,1.00,1.00,1.78,0.257,0.8716,0.10,0.200,1.00,0.00,0.960,1.024,1.197,0.835,0.897,0.844,1.773,0.572,1.116,10,01111111101001,1.010,10.0,282,334,224,334,0,sampled
20,6020,1,success,599,94,100,500,500,3,9.07,3,2,1,1,0,0.628,1.00,1.00,2.60,0.392,0.7933,0.10,0.200,1.00,0.00,1.067,1.158,1.194,0.984,0.979,1.020,2.424,0.572,1.341,10,11111101011001,1.062,10.0,94,51,373,373,0,sampled
21,6021,1,success,601,91,102,500,500,3,4.05,5,3,1,1,0,0.334,1.00,1.00,2.73,2.836,0.9309,0.10,0.200,1.00,0.00,0.964,1.134,1.042,0.831,0.918,0.897,1.225,0.685,1.233,11,01111110111110,1.053,10.0,193,344,11,344,0,sampled
22,6022,1,success,604,97,105,500,500,3,3.87,5,3,1,1,0,0.270,1.00,1.00,2.39,2.812,0.8914,0.10,0.200,1.00,0.00,1.038,1.087,1.131,1.027,0.913,1.033,1.614,0.703,1.105,10,10111011001111,1.034,10.0,463,367,426,463,0,sampled
23,6023,1,success,577,71,78,500,500,3,19.28,4,2,1,1,0,1.325,1.00,1.00,4.60,2.454,0.8873,0.10,0.200,1.00,0.00,1.126,1.197,0.948,1.193,1.143,1.147,1.526,0.645,1.394,13,11111111111110,1.078,10.0,29,458,269,458,0,sampled
24,6024,1,success,614,112,115,500,500,3,2.62,6,2,1,1,0,0.229,1.00,1.00,1.42,3.975,0.9339,0.10,0.200,1.00,0.00,0.932,0.947,0.833,0.831,1.054,0.995,1.373,0.647,1.333,12,10111011111111,0.979,10.0,83,487,283,487,0,sampled
25,6025,1,success,582,75,83,500,500,3,2.95,3,2,1,1,0,0.252,1.00,1.00,3.66,1.391,0.8307,0.10,0.200,1.00,0.00,0.981,0.803,1.014,0.831,1.128,1.131,0.994,0.676,1.495,8,00100111011110,0.922,10.0,242,470,273,470,0,sampled
26,6026,1,success,600,94,101,500,500,3,19.07,4,3,1,1,0,1.307,1.00,1.00,3.35,1.065,0.8991,0.10,0.200,1.00,0.00,1.047,0.941,1.185,1.195,0.947,0.969,1.112,0.663,1.193,10,11111001010111,0.977,10.0,364,417,56,417,0,sampled
27,6027,1,success,601,96,102,500,500,3,13.69,4,2,1,1,0,1.204,1.00,1.00,3.35,2.755,0.9087,0.10,0.200,1.00,0.00,1.081,1.140,1.164,0.938,0.999,1.163,1.685,0.705,1.289,9,00001111111110,1.055,10.0,225,428,485,485,0,sampled
28,6028,1,success,648,126,149,500,500,3,13.38,4,1,1,1,1,1.437,1.00,1.00,4.17,0.687,0.8655,0.10,0.200,1.00,0.00,1.072,1.189,1.173,0.951,1.113,0.932,1.101,0.631,1.261,10,11010111111001,1.075,10.0,228,402,115,402,0,sampled
29,6029,1,success,605,88,106,500,500,3,7.24,3,1,1,1,1,0.501,1.00,1.00,1.74,0.267,0.7311,0.10,0.200,1.00,0.00,1.001,0.934,1.077,0.925,1.089,0.980,1.319,0.594,1.217,11,01111110111101,0.974,10.0,474,323,333,474,0,sampled
30,6030,1,success,625,107,126,500,500,3,18.34,4,2,1,1,0,1.327,1.00,1.00,4.63,2.901,0.9190,0.10,0.200,1.00,0.00,1.032,0.978,0.984,1.176,1.014,1.006,1.432,0.713,1.212,11,01110111011111,0.991,10.0,62,364,138,364,0,sampled
31,6031,1,success,605,96,106,500,500,3,4.00,5,4,1,1,0,0.309,1.00,1.00,3.26,1.001,0.9032,0.10,0.200,1.00,0.00,0.997,1.007,1.054,0.921,1.153,0.851,1.307,0.616,1.400,13,11011111111111,1.003,10.0,181,64,102,181,0,sampled
32,6032,1,success,602,81,103,500,500,3,5.57,5,2,1,1,0,0.400,1.00,1.00,3.55,2.350,0.8961,0.10,0.200,1.00,0.00,1.128,1.069,1.091,1.104,1.189,1.189,1.435,0.590,1.148,11,11111010011111,1.027,10.0,309,87,54,309,0,sampled
33,6033,1,success,578,70,79,500,500,3,17.02,5,3,1,1,0,1.182,1.00,1.00,3.38,1.843,0.8603,0.10,0.200,1.00,0.00,0.970,1.056,0.845,1.198,0.863,0.888,1.259,0.640,1.203,12,01101111111111,1.022,10.0,261,17,132,261,0,sampled
34,6034,1,success,607,102,108,500,500,3,18.35,4,3,1,1,0,1.376,1.00,1.00,3.05,2.106,0.9196,0.10,0.200,1.00,0.00,1.050,1.014,1.140,0.934,1.034,1.130,0.951,0.654,1.463,13,11111111110111,1.006,10.0,441,465,373,465,0,sampled
35,6035,1,success,582,74,83,500,500,3,15.33,4,3,1,1,0,1.395,1.00,1.00,3.92,2.134,0.8341,0.10,0.200,1.00,0.00,1.082,1.142,1.049,1.055,1.000,1.165,1.333,0.662,1.216,10,10011110111011,1.056,10.0,138,216,110,216,0,sampled
36,6036,1,success,602,97,103,500,500,3,2.67,4,2,1,1,0,0.278,1.00,1.00,2.74,1.476,0.9114,0.10,0.200,1.00,0.00,0.980,1.166,1.029,0.918,0.908,0.877,1.221,0.653,1.133,10,01101001111111,1.066,10.0,380,42,460,460,0,sampled
37,6037,1,success,570,62,71,500,500,3,3.06,5,4,1,1,0,0.233,1.00,1.00,3.12,1.005,0.8441,0.10,0.200,1.00,0.00,0.926,0.856,0.881,1.186,0.873,0.833,0.840,0.684,1.244,12,11111011111011,0.943,10.0,458,58,341,458,0,sampled
38,6038,0,drop,137,79,88,49,500,0,0.00,7,4,1,1,0,1.314,1.00,1.00,3.08,1.388,0.8781,0.10,0.196,0.00,-0.20,0.976,1.042,0.990,1.014,1.003,0.832,1.299,0.632,1.398,10,01110011111011,1.017,10.0,282,100,153,-1,0,sampled
39,6039,1,success,587,85,88,500,500,3,5.20,6,2,1,1,0,0.376,1.00,1.00,5.22,4.708,0.8557,0.10,0.200,1.00,0.00,1.065,0.875,1.149,1.097,1.066,1.136,2.002,0.706,1.307,11,11010111111110,0.950,10.0,304,74,24,304,0,sampled
40,6040,1,success,569,64,70,500,500,3,3.17,3,1,1,1,0,0.391,1.00,1.00,1.88,2.500,0.6294,0.10,0.200,1.00,0.00,0.919,0.881,0.822,1.026,0.893,0.975,1.482,0.636,1.201,10,11111001101110,0.953,10.0,300,136,450,450,0,sampled
41,6041,1,success,579,73,80,500,500,3,9.24,5,3,1,1,0,0.924,1.00,1.00,3.66,3.457,0.8019,0.10,0.200,1.00,0.00,0.925,0.800,0.866,1.064,1.084,0.808,1.824,0.600,1.269,10,10011011011111,0.921,10.0,28,185,240,240,0,sampled
42,6042,1,success,574,71,75,500,500,3,14.15,3,2,1,1,0,0.994,1.00,1.00,2.26,2.685,0.8667,0.10,0.200,1.00,0.00,0.989,1.027,1.017,0.882,0.931,1.085,1.490,0.641,1.462,13,11101111111111,1.011,10.0,146,391,222,391,0,sampled
43,6043,1,success,580,73,81,500,500,3,3.53,4,2,1,1,0,0.243,1.00,1.00,4.18,2.534,0.9041,0.10,0.200,1.00,0.00,0.952,0.870,1.011,1.050,0.842,0.987,1.473,0.612,1.346,12,01111101111111,0.948,10.0,135,170,195,195,0,sampled
44,6044,1,success,582,74,83,500,500,3,4.97,5,2,1,1,0,0.359,1.00,1.00,2.41,1.413,0.8828,0.10,0.200,1.00,0.00,0.933,0.813,0.883,1.181,0.863,0.923,1.252,0.604,1.285,12,01111111011111,0.926,10.0,116,202,127,202,0,sampled
45,6045,1,success,688,185,189,500,500,3,17.65,4,2,1,1,0,1.264,1.00,1.00,5.70,2.068,0.9232,0.10,0.200,1.00,0.00,0.922,1.173,0.809,0.800,0.981,0.850,1.109,0.716,1.252,10,11111100001111,1.068,10.0,293,7,25,293,0,sampled
46,6046,1,success,651,143,152,500,500,3,4.82,4,1,1,1,0,0.367,1.00,1.00,8.85,3.260,0.9024,0.10,0.200,1.00,0.00,1.095,1.156,1.198,1.137,1.170,0.812,1.801,0.674,1.086,11,11101110110111,1.062,10.0,450,160,171,450,0,sampled
47,6047,1,success,586,79,87,500,500,3,7.28,4,2,1,1,0,0.525,1.00,1.00,5.11,2.374,0.8791,0.10,0.200,1.00,0.00,0.910,1.082,0.867,0.838,0.953,0.812,2.157,0.748,1.247,10,10011111101110,1.032,10.0,309,337,161,337,0,sampled
48,6048,1,success,610,104,111,500,500,3,5.53,7,4,1,1,0,0.410,1.00,1.00,4.31,1.905,0.9109,0.10,0.200,1.00,0.00,1.052,1.103,1.025,0.980,1.014,1.137,1.020,0.665,1.138,13,10111111111111,1.041,10.0,444,419,148,444,0,sampled
49,6049,1,success,594,82,95,500,500,3,11.09,5,2,1,1,0,0.763,1.00,1.00,3.74,3.371,0.9127,0.10,0.200,1.00,0.00,1.013,1.049,0.878,1.141,0.928,1.067,2.502,0.648,1.410,11,10111101111011,1.020,10.0,399,372,62,399,0,sampled
50,6050,1,success,609,103,110,500,500,3,3.56,6,2,1,1,0,0.281,1.00,1.00,2.83,2.966,0.8948,0.10,0.200,1.00,0.00,1.029,1.155,0.804,1.069,1.042,1.073,1.341,0.647,1.333,11,11111100011111,1.062,10.0,280,414,342,414,0,sampled
51,6051,1,success,614,83,115,500,500,3,3.38,5,3,1,1,0,0.260,1.00,1.00,4.25,2.718,0.8647,0.10,0.200,1.00,0.00,0.960,1.146,0.926,0.972,0.929,0.827,1.923,0.716,1.170,10,11111011001110,1.058,10.0,162,430,305,430,0,sampled
52,6052,1,success,602,99,103,500,500,3,8.94,3,2,1,1,0,0.649,1.00,1.00,2.70,1.221,0.7743,0.10,0.200,1.00,0.00,0.911,0.940,0.918,1.059,0.807,0.830,1.090,0.595,1.233,11,11101011101111,0.976,10.0,6,490,124,490,0,sampled
53,6053,1,success,778,277,279,500,500,3,15.81,5,3,1,1,0,1.226,1.00,1.00,6.21,0.947,0.8527,0.10,0.200,1.00,0.00,0.968,0.951,0.811,1.120,1.086,0.871,1.199,0.613,1.229,11,11011011111011,0.981,10.0,484,468,51,484,0,sampled
54,6054,0,drop,203,132,133,70,500,2,14.07,5,3,1,1,1,1.043,1.00,1.00,3.92,0.895,0.8538,0.10,0.200,0.00,-0.20,0.972,1.074,0.925,1.162,0.895,0.804,1.438,0.710,1.157,12,01111111101111,1.029,10.0,41,493,57,57,0,sampled
55,6055,1,success,566,61,67,500,500,3,14.90,6,3,1,1,0,1.144,1.00,1.00,7.20,3.824,0.9063,0.10,0.200,1.00,0.00,0.943,1.123,0.801,0.978,0.968,0.847,1.795,0.527,1.120,14,11111111111111,1.049,10.0,232,302,344,344,0,sampled
56,6056,1,success,570,64,71,500,500,3,12.98,3,2,1,1,0,0.941,1.00,1.00,4.79,2.471,0.8704,0.10,0.200,1.00,0.00,1.021,0.978,0.988,1.049,1.082,1.006,1.531,0.704,1.018,12,11110111101111,0.991,10.0,261,284,336,336,0,sampled
57,6057,1,success,589,82,90,500,500,3,10.60,6,3,1,1,0,0.788,1.00,1.00,3.53,1.797,0.8999,0.10,0.200,1.00,0.00,1.051,1.109,1.166,0.968,1.052,0.961,1.671,0.599,1.370,11,11011111010111,1.043,10.0,332,32,240,332,0,sampled
58,6058,1,success,619,114,120,500,500,3,16.12,3,2,1,1,0,1.119,1.00,1.00,2.02,0.990,0.8933,0.10,0.200,1.00,0.00,0.988,0.904,1.175,1.090,0.850,0.921,1.150,0.666,1.265,10,01101101011111,0.962,10.0,201,352,196,352,0,sampled
59,6059,0,maxStep,0,-1,-1,0,500,0,0.00,3,1,1,1,0,0.238,1.00,1.00,5.87,1.230,0.7684,0.00,0.000,0.00,0.00,0.997,1.140,1.143,1.057,0.814,0.830,1.559,0.665,1.260,11,11111011101110,1.056,10.0,-1,-1,-1,-1,0,sampled
60,6060,1,success,596,87,97,500,500,3,11.12,6,2,1,1,0,0.846,1.00,1.00,5.20,4.157,0.8812,0.10,0.200,1.00,0.00,0.961,0.824,0.951,0.996,1.103,0.929,1.286,0.750,1.371,9,00111100011111,0.930,10.0,482,2,199,482,0,sampled
61,6061,1,success,621,117,122,500,500,3,3.10,4,2,1,1,0,0.232,1.00,1.00,3.08,1.839,0.8935,0.10,0.200,1.00,0.00,1.051,1.038,1.148,0.836,1.074,1.158,2.190,0.549,1.336,6,00100110000111,1.015,10.0,434,223,458,458,0,sampled
62,6062,1,success,573,63,74,500,500,3,6.88,4,2,1,1,0,0.505,1.00,1.00,3.21,3.483,0.8555,0.10,0.200,1.00,0.00,1.046,1.032,1.025,0.971,1.140,1.060,1.903,0.623,1.228,12,11111110111011,1.013,10.0,231,7,360,360,0,sampled
63,6063,1,success,593,79,94,500,500,3,7.80,5,3,1,1,0,0.545,1.00,1.00,2.47,1.738,0.9094,0.10,0.200,1.00,0.00,1.037,1.190,1.009,0.924,0.881,1.179,1.205,0.708,1.276,12,10111011111111,1.075,10.0,140,108,365,365,0,sampled
64,6064,1,success,593,88,94,500,500,3,10.32,4,2,1,1,0,0.719,1.00,1.00,3.06,2.742,0.9114,0.10,0.200,1.00,0.00,1.051,1.172,0.865,0.908,1.183,1.125,1.776,0.766,1.147,11,11101111110110,1.068,10.0,112,102,330,330,0,sampled
65,6065,1,success,595,83,96,500,500,3,19.70,3,1,1,1,0,1.425,1.00,1.00,3.86,2.211,0.8341,0.10,0.200,1.00,0.00,1.044,0.926,1.070,1.148,1.011,1.066,1.433,0.700,1.341,9,11010010111110,0.971,10.0,217,461,17,461,0,sampled
66,6066,1,success,586,82,87,500,500,3,9.04,6,3,1,1,0,0.878,1.00,1.00,4.27,4.031,0.6019,0.10,0.200,1.00,0.00,1.036,1.093,1.042,1.148,1.007,0.893,1.804,0.633,1.228,10,10110111100111,1.037,10.0,343,264,416,416,0,sampled
67,6067,1,success,600,96,101,500,500,3,15.25,3,1,1,1,0,1.080,1.00,1.00,2.73,1.822,0.8843,0.10,0.200,1.00,0.00,0.950,0.979,0.988,0.826,1.055,0.902,1.486,0.611,1.241,8,11110100100011,0.992,10.0,387,112,1,387,0,sampled
68,6068,1,success,584,80,85,500,500,3,10.32,3,2,1,1,0,0.727,1.00,1.00,4.18,0.953,0.9028,0.10,0.200,1.00,0.00,0.946,1.080,1.019,0.872,0.893,0.868,1.186,0.672,1.328,10,01111110001111,1.032,10.0,279,445,208,445,0,sampled
69,6069,1,success,579,73,80,500,500,3,3.11,3,1,1,1,0,0.256,1.00,1.00,3.18,3.381,0.8816,0.10,0.200,1.00,0.00,0.910,0.856,0.810,0.888,0.800,1.195,1.594,0.614,1.276,11,11011101110111,0.943,10.0,414,398,68,414,0,sampled
70,6070,1,success,639,125,140,500,500,3,20.77,5,3,1,1,0,1.453,1.00,1.00,4.77,1.081,0.8569,0.10,0.200,1.00,0.00,0.973,1.150,0.906,0.815,1.031,0.962,0.979,0.751,1.212,6,00101011010010,1.059,10.0,495,114,21,495,0,sampled
71,6071,1,success,623,107,124,500,500,3,7.03,3,1,1,1,0,0.664,1.00,1.00,4.04,4.202,0.9288,0.10,0.200,1.00,0.00,1.028,0.921,1.031,1.155,0.860,1.176,2.462,0.695,1.297,11,01110110111111,0.969,10.0,18,66,38,66,0,sampled
72,6072,1,success,587,76,88,500,500,3,9.13,3,2,1,1,0,0.810,1.00,1.00,2.33,1.293,0.7881,0.10,0.200,1.00,0.00,0.969,0.844,1.186,0.996,0.996,0.822,1.410,0.605,1.107,14,11111111111111,0.938,10.0,350,486,94,486,0,sampled
73,6073,1,success,582,75,83,500,500,3,3.72,5,3,1,1,0,0.279,1.00,1.00,2.52,3.110,0.8703,0.10,0.200,1.00,0.00,1.006,0.846,0.886,1.160,0.998,1.141,1.849,0.674,1.118,14,11111111111111,0.939,10.0,213,56,16,213,0,sampled
74,6074,1,success,609,102,110,500,500,3,4.70,3,2,1,1,0,0.371,1.00,1.00,3.51,3.112,0.8965,0.10,0.200,1.00,0.00,1.106,1.061,1.152,1.145,1.146,1.028,1.359,0.567,1.254,12,11111010111111,1.024,10.0,164,66,98,164,0,sampled
75,6075,1,success,589,84,90,500,500,3,12.86,4,1,1,1,0,1.161,1.00,1.00,3.39,1.693,0.8347,0.10,0.200,1.00,0.00,0.976,1.080,0.910,1.036,0.892,0.961,1.566,0.697,1.316,14,11111111111111,1.032,10.0,456,136,248,456,0,sampled
76,6076,1,success,579,63,80,500,500,3,3.82,5,3,1,1,0,0.280,1.00,1.00,5.02,2.773,0.8722,0.10,0.200,1.00,0.00,0.965,0.877,1.162,1.026,0.933,0.826,1.687,0.662,1.273,13,11111110111111,0.951,10.0,381,388,482,482,0,sampled
77,6077,1,success,755,252,256,500,500,3,5.71,3,1,1,1,0,0.404,1.00,1.00,3.97,1.465,0.7455,0.10,0.200,1.00,0.00,1.013,1.135,0.905,1.028,1.035,0.964,1.030,0.731,1.124,8,00110001101111,1.054,10.0,399,89,213,399,0,sampled
78,6078,1,success,605,103,106,500,500,3,2.85,4,2,1,1,0,0.222,1.00,1.00,3.11,2.663,0.9038,0.10,0.200,1.00,0.00,1.000,1.134,1.045,1.077,0.863,0.884,1.896,0.584,1.082,12,11110111101111,1.053,10.0,348,66,453,453,0,sampled
79,6079,1,success,591,87,92,500,500,3,3.63,4,2,1,1,0,0.306,1.00,1.00,3.48,1.324,0.8728,0.10,0.200,1.00,0.00,1.053,1.167,0.860,1.144,1.073,1.021,1.421,0.624,1.249,12,11111111011110,1.066,10.0,486,134,70,486,0,sampled
80,6080,1,success,609,103,110,500,500,3,10.92,5,3,1,1,0,0.764,1.00,1.00,4.29,1.242,0.9240,0.10,0.200,1.00,0.00,1.009,1.112,0.975,0.834,1.002,1.121,0.729,0.616,1.308,11,10011111111011,1.044,10.0,379,442,352,442,0,sampled
81,6081,1,success,601,94,102,500,500,3,14.59,7,3,1,1,0,1.088,1.00,1.00,1.87,1.249,0.9118,0.10,0.200,1.00,0.00,1.000,0.890,1.132,1.048,1.054,0.875,1.576,0.704,1.163,13,11111111011111,0.956,10.0,362,172,310,362,0,sampled
82,6082,1,success,596,71,97,500,500,3,15.91,5,1,1,1,0,1.116,1.00,1.00,6.77,4.548,0.8603,0.10,0.200,1.00,0.00,0.910,0.965,0.909,0.930,0.931,0.818,2.105,0.670,1.216,11,11100111101111,0.986,10.0,195,326,336,336,0,sampled
83,6083,0,drop,1579,1518,-1,0,500,0,0.00,4,2,1,1,0,0.866,1.00,1.00,5.88,2.587,0.8314,0.10,0.000,0.00,-0.20,1.059,0.959,1.136,1.124,1.192,0.884,1.216,0.679,1.278,11,11101101111101,0.984,10.0,-1,-1,-1,-1,0,sampled
84,6084,1,success,608,95,109,500,500,3,12.56,6,2,1,1,0,0.907,1.00,1.00,4.54,3.457,0.9161,0.10,0.200,1.00,0.00,1.024,1.028,0.919,1.009,1.021,1.144,1.714,0.693,1.329,9,01111010011011,1.011,10.0,485,419,4,485,0,sampled
85,6085,1,success,650,144,151,500,500,3,9.57,4,2,1,1,0,0.679,1.00,1.00,5.05,0.312,0.8784,0.10,0.200,1.00,0.00,1.027,0.883,1.121,1.106,1.003,1.021,1.891,0.645,1.116,11,10111110111101,0.954,10.0,102,403,82,403,0,sampled
86,6086,1,success,567,59,68,500,500,3,3.39,4,3,1,1,1,0.236,1.00,1.00,3.22,1.698,0.8651,0.10,0.200,1.00,0.00,1.043,1.081,1.042,0.903,1.139,1.048,1.110,0.629,1.403,13,01111111111111,1.032,10.0,162,263,328,328,0,sampled
87,6087,1,success,600,92,101,500,500,3,3.14,4,2,1,1,0,0.243,1.00,1.00,3.15,1.308,0.9174,0.10,0.200,1.00,0.00,1.055,1.018,0.944,0.963,1.196,1.153,1.266,0.709,1.271,10,11110101011011,1.007,10.0,298,362,149,362,0,sampled
88,6088,1,success,602,92,103,500,500,3,4.83,5,3,1,0,0,0.373,1.00,1.00,6.34,0.339,0.8886,0.10,0.200,1.00,0.00,0.970,0.824,1.014,0.971,1.160,0.883,1.964,0.613,1.352,13,11111111111101,0.930,10.0,444,290,41,444,0,sampled
89,6089,1,success,588,82,89,500,500,3,4.15,4,2,1,1,0,0.299,1.00,1.00,1.96,1.264,0.8365,0.10,0.200,1.00,0.00,0.965,0.863,1.045,1.192,0.922,0.804,1.286,0.711,1.478,10,10101111101110,0.946,10.0,443,460,131,460,0,sampled
90,6090,1,success,577,74,78,500,500,3,4.03,4,1,1,1,0,0.317,1.00,1.00,3.98,1.893,0.8906,0.10,0.200,1.00,0.00,1.061,1.169,1.178,1.031,1.022,0.906,1.132,0.672,1.059,12,11011011111111,1.067,10.0,156,131,200,200,0,sampled
91,6091,1,success,586,75,87,500,500,3,13.82,6,3,1,1,0,1.046,1.00,1.00,3.34,3.329,0.8389,0.10,0.200,1.00,0.00,0.985,1.045,1.031,0.941,1.076,0.833,2.027,0.717,0.965,14,11111111111111,1.018,10.0,482,25,20,482,0,sampled
92,6092,1,success,582,76,83,500,500,3,8.75,3,1,1,1,0,0.596,1.00,1.00,2.63,2.934,0.8799,0.10,0.200,1.00,0.00,0.922,0.971,0.909,0.915,0.901,0.913,1.330,0.613,1.321,11,10111111100111,0.989,10.0,475,39,26,475,0,sampled
93,6093,1,success,584,74,85,500,500,3,18.91,3,1,1,1,0,1.374,1.00,1.00,3.25,1.166,0.9084,0.10,0.200,1.00,0.00,1.073,1.049,0.952,1.144,1.194,1.025,1.127,0.559,1.286,13,10111111111111,1.019,10.0,159,157,55,159,0,sampled
94,6094,1,success,635,129,136,500,500,3,9.07,3,2,1,1,0,0.691,1.00,1.00,2.87,0.198,0.9044,0.10,0.200,1.00,0.00,0.976,0.848,0.964,1.061,1.173,0.835,2.146,0.588,1.293,9,11010110111001,0.940,10.0,281,298,79,298,0,sampled
